Molecule,Atom,Exp,SJ,SJn,Atom_indices,Type
molecule_060,C,301.8,305.81,307.62,C_001,C3-F
molecule_061,C,291.33,294.05,297.29,C_001,C2-C
molecule_061,C,296.1,298.37,302.11,C_002,C2-F
molecule_062,C,292.07,296.43,298.11,C_001,C3-C
molecule_062,C,298.64,303.32,304.53,C_002,C3-F
molecule_063,C,293.87,296.14,299.79,C_003,C2-F
molecule_063,C,296.25,298.42,302.16,C_002,C2-F
molecule_064,C,290.54,294.17,296.6,C_006,C2-C
molecule_064,C,290.54,294.34,296.72,C_001;C_004,C2-C
molecule_064,C,290.87,294.35,296.8,C_005;C_007,C2-C
molecule_064,C,292.7,296.21,298.89,C_002,C2-F
molecule_065,C,291.14,294.43,296.88,C_008;C_007,C2-C
molecule_065,C,291.14,294.56,296.99,C_006;C_001,C2-C
molecule_065,C,293.29,296.65,299.14,C_002;C_004,C2-F
molecule_066,C,291.12,294.49,296.83,C_001;C_007,C2-C
molecule_066,C,291.12,294.61,296.96,C_004,C2-C
molecule_066,C,291.12,294.59,297.1,C_008,C2-C
molecule_066,C,293.24,296.62,299.21,C_002;C_005,C2-F
molecule_067,C,291.18,294.64,297.02,C_008;C_001;C_005;C_004,C2-C
molecule_067,C,293.16,296.72,299,C_002;C_006,C2-F
molecule_068,C,292.24,294.71,298.06,C_001,C1-C
molecule_068,C,292.24,294.79,298.15,C_002,C1-C
molecule_068,C,299.7,302.55,305.34,C_003,C3-F
molecule_055,F,694.23,701.52,704.78,F_001,F
molecule_056,F,696.69,701.05,707.38,F_001;F_002,F
molecule_057,F,692.4,701.29,703.53,F_002,F
molecule_058,F,693.65,702.67,704.29,F_003;F_002,F
molecule_059,F,694.1,703.62,705.04,F_003;F_004;F_002,F
molecule_060,F,695,704.06,705.79,F_003;F_004;F_002;F_005,F
molecule_061,F,694.44,702.65,704.82,F_003;F_004,F
molecule_062,F,694.12,703.17,704.43,F_003,F
molecule_063,F,694.1,701.86,704.44,F_004,F
molecule_063,F,694.8,702.92,705.12,F_001,F
molecule_064,F,692.93,701.78,703.39,F_003,F
molecule_065,F,693.25,702.04,703.73,F_003;F_005,F
molecule_066,F,693.18,701.92,703.63,F_003;F_006,F
molecule_067,F,693.18,702.02,703.54,F_003;F_007,F
molecule_068,F,694.75,702.36,704.72,F_004,F
molecule_018,N,405.6,411.37,413.58,N_001,N3
molecule_019,N,405.1,411.34,413.22,N_002,N3
molecule_020,N,405.4,411.71,413.3,N_003,N2
molecule_021,N,405,411.8,413.14,N_003,N2
molecule_022,N,405.1,412.16,413.08,N_003,N2
molecule_023,N,405,410.4,412.6,N_004,N1
molecule_024,N,404.9,410.08,412.67,N_002,N2
molecule_025,N,406.1,412.55,414.23,N_002,N2
molecule_026,N,406.8,410.48,414.68,N_002,N1
molecule_027,N,405.6,409.46,413.33,N_003,N1
molecule_028,N,404.9,411.52,413.03,N_001,N3
molecule_029,N,405,411.25,412.98,N_003,N3
molecule_030,N,404.8,412,412.96,N_001,N3
molecule_031,N,404.6,411.35,412.58,N_001,N3
molecule_032,N,404.8,411.76,412.69,N_003,N2
molecule_032,N,404.8,411.51,412.99,N_009,N2
molecule_033,N,404.5,409.92,411.96,N_004,N1
molecule_033,N,405.8,412.27,413.81,N_008,N2
molecule_034,N,404.82,411.18,412.78,N_004,N3
molecule_035,N,404.69,411.12,412.62,N_005,N3
molecule_036,O,539.7,546.08,548.79,O_001,O3
molecule_037,O,538.5,543.9,547.49,O_002,O2
molecule_038,O,538.9,545.91,548.14,O_002,O3
molecule_039,O,538.35,545.69,547.49,O_004,O3
molecule_040,O,538.14,545.6,547.28,O_005,O3
molecule_041,O,539.03,546.59,547.73,O_002,O3
molecule_042,O,537.86,546.21,547.15,O_003,O3
molecule_043,O,538.33,543.72,547.04,O_003,O2
molecule_043,O,540.12,546.73,549.02,O_004,O2
molecule_044,O,538.92,544.15,547.81,O_002,O2
molecule_044,O,540.6,546.78,549.67,O_003,O2
molecule_045,O,539.42,544.43,548.51,O_002,O2
molecule_046,O,538.05,543.57,546.81,O_003,O2
molecule_047,O,539.01,546.47,548.37,O_004,O3
molecule_048,O,542.57,546.98,551.6,O_002,O1
molecule_049,O,541.3,547.32,550.28,O_001;O_003,O2
molecule_050,O,543.1,547.35,553.08,O_001;O_002,O2
molecule_051,O,541.8,545.58,549.91,O_001;O_002,O3
molecule_052,O,540.25,546.57,548.71,O_003,O3
molecule_053,O,538.9,546.51,548.26,O_003,O2
molecule_054,O,538.14,544.17,546.86,O_003,O2
molecule_054,O,539.64,546.62,548.67,O_004,O2
