System,Atom,Value,N_Atoms,Atom_indices
molecule_042,C,0.13,2,C_001;C_005
molecule_042,C,1.51,2,C_002;C_004
molecule_042,O,250.48,1,O_003
molecule_043,C,1.25,1,C_001
molecule_043,C,4.63,1,C_002
molecule_043,O,250.36,1,O_003
molecule_043,O,252.34,1,O_004
molecule_044,C,5.04,1,C_001
molecule_044,O,251.12,1,O_002
molecule_044,O,252.98,1,O_003
molecule_045,C,4.05,1,C_001
molecule_045,O,251.81,1,O_002
molecule_046,C,0.60,2,C_001;C_004
molecule_046,C,3.14,1,C_002
molecule_046,O,250.13,1,O_003
molecule_047,C,-0.92,1,C_001
molecule_047,C,0.43,1,C_003
molecule_047,C,1.88,1,C_002
molecule_047,O,251.69,1,O_004
molecule_048,C,5.67,1,C_001
molecule_048,O,254.91,1,O_002
molecule_049,C,6.77,1,C_002
molecule_049,O,253.59,2,O_001;O_003
molecule_050,O,254.45,2,O_001;O_002
molecule_051,O,253.20,2,O_001;O_002
molecule_052,C,-0.25,1,C_001
molecule_052,C,1.99,1,C_002
molecule_052,O,252.02,1,O_003
molecule_053,C,-0.47,1,C_006
molecule_053,C,-0.40,1,C_004
molecule_053,C,-0.25,1,C_001
molecule_053,C,-0.20,1,C_005
molecule_053,C,-0.16,1,C_007
molecule_053,C,1.53,1,C_002
molecule_053,O,251.60,1,O_003
molecule_054,C,-0.10,1,C_006
molecule_054,C,0.90,1,C_001
molecule_054,C,1.85,1,C_005
molecule_054,C,4.10,1,C_002
molecule_054,O,250.20,1,O_003
molecule_054,O,252.01,1,O_004
molecule_055,F,408.07,1,F_001
molecule_056,F,408.05,2,F_001;F_002
molecule_057,C,3.03,1,C_001
molecule_057,F,406.83,1,F_002
molecule_058,C,5.70,1,C_001
molecule_058,F,407.60,2,F_002;F_003
molecule_059,C,8.37,1,C_001
molecule_059,F,408.35,2,F_003;F_004
molecule_059,F,408.36,1,F_002
molecule_060,C,10.95,1,C_001
molecule_060,F,409.12,4,F_002;F_003;F_004;F_005
molecule_061,C,0.60,1,C_001
molecule_061,C,5.43,1,C_002
molecule_061,F,408.13,2,F_003;F_004
molecule_062,C,1.43,1,C_001
molecule_062,C,7.86,1,C_002
molecule_062,F,407.76,3,F_003;F_004;F_005
molecule_063,C,3.12,1,C_003
molecule_063,C,5.48,1,C_002
molecule_063,F,407.77,1,F_004
molecule_063,F,408.45,1,F_001
molecule_063,F,408.46,1,F_005
molecule_064,C,-0.06,1,C_006
molecule_064,C,0.07,2,C_001;C_004
molecule_064,C,0.14,2,C_005;C_007
molecule_064,C,2.24,1,C_002
molecule_064,F,406.74,1,F_003
molecule_065,C,0.23,2,C_007;C_008
molecule_065,C,0.34,2,C_001;C_006
molecule_065,C,2.30,2,C_002;C_004
molecule_065,F,407.09,2,F_003;F_005
