System,Atom,BE,N
C2H4,C,289.67,2
C2H4O,C,291.21,1
C2H4O,C,292.5,1
C2H4O,O,539.42,1
C2H6,C,290.56,2
C3H6,C,289.83,1
C3H6,C,290.34,1
C3H6,C,291.65,1
C3H8,C,290.83,1
C3H8,C,291.02,2
CH2O,O,539.38,1
CH2O,C,292.09,1
CH4O,C,292.88,1
CH4O,O,541.2,1
CO2,O,541.19,2
CO2,C,294.25,1
THF,C,292.56,2
THF,C,293.4,2
THF,O,541.56,1
THFn,C,292.6,2
THFn,C,292.85,2
THFn,C,293.82,2
THFn,C,294.2,2
THFn,O,542.79,1
THFn,O,543.23,2
