System,Atom,z_slab,z_depth
Ca_slab/8,Ca_004,0.935,0.435
Ca_slab/8,Ca_005,1.000,0.500
Ca_slab/8,Ca_006,1.000,0.500
Ca_slab/8,Ca_007,1.000,0.500
Ca_slab/8,Ca_008,1.000,0.500
Ca_slab/8,Ca_009,0.802,0.302
Ca_slab/8,Ca_010,0.802,0.302
Ca_slab/8,Ca_011,0.802,0.302
Ca_slab/8,Ca_012,0.802,0.302
Ca_slab/8,Ca_013,0.869,0.369
Ca_slab/8,Ca_014,0.869,0.369
Ca_slab/8,Ca_015,0.869,0.369
Ca_slab/8,Ca_016,0.869,0.369
Ca_slab/8,Ca_017,0.669,0.169
Ca_slab/8,Ca_018,0.669,0.169
Ca_slab/8,Ca_019,0.669,0.169
Ca_slab/8,Ca_020,0.669,0.169
Ca_slab/8,Ca_021,0.736,0.236
Ca_slab/8,Ca_022,0.736,0.236
Ca_slab/8,Ca_023,0.736,0.236
Ca_slab/8,Ca_024,0.736,0.236
Ca_slab/8,Ca_025,0.534,0.034
Ca_slab/8,Ca_026,0.534,0.034
Ca_slab/8,Ca_027,0.534,0.034
Ca_slab/8,Ca_028,0.534,0.034
Ca_slab/8,Ca_029,0.602,0.102
Ca_slab/8,Ca_030,0.602,0.102
Ca_slab/8,Ca_031,0.602,0.102
Ca_slab/8,Ca_032,0.602,0.102
Ca_slab/8,Ca_033,0.398,0.102
Ca_slab/8,Ca_034,0.398,0.102
Ca_slab/8,Ca_035,0.398,0.102
Ca_slab/8,Ca_036,0.398,0.102
Ca_slab/8,Ca_037,0.466,0.034
Ca_slab/8,Ca_038,0.466,0.034
Ca_slab/8,Ca_039,0.466,0.034
Ca_slab/8,Ca_040,0.466,0.034
Ca_slab/8,Ca_041,0.264,0.236
Ca_slab/8,Ca_042,0.264,0.236
Ca_slab/8,Ca_043,0.264,0.236
Ca_slab/8,Ca_044,0.264,0.236
Ca_slab/8,Ca_045,0.331,0.169
Ca_slab/8,Ca_046,0.331,0.169
Ca_slab/8,Ca_047,0.331,0.169
Ca_slab/8,Ca_048,0.331,0.169
Ca_slab/8,Ca_049,0.131,0.369
Ca_slab/8,Ca_050,0.131,0.369
Ca_slab/8,Ca_051,0.131,0.369
Ca_slab/8,Ca_052,0.131,0.369
Ca_slab/8,Ca_053,0.198,0.302
Ca_slab/8,Ca_054,0.198,0.302
Ca_slab/8,Ca_055,0.198,0.302
Ca_slab/8,Ca_056,0.198,0.302
Ca_slab/8,Ca_057,0.000,0.500
Ca_slab/8,Ca_058,0.000,0.500
Ca_slab/8,Ca_059,0.000,0.500
Ca_slab/8,Ca_060,0.000,0.500
Ca_slab/8,Ca_061,0.065,0.435
Ca_slab/8,Ca_062,0.065,0.435
Ca_slab/8,Ca_063,0.065,0.435
Ca_slab/8,Ca_064,0.065,0.435
